id_user;name;username;rating;date;nama_objek;id_objek;;
273;_valentine_ferra;/Profile/_valentine_ferra;30;Jul-18;AEON Mall BSD City;999;;
339;21yunia;/Profile/21yunia;50;Mei 2018;AEON Mall BSD City;999;;
412;560rianas;/Profile/560rianas;50;Agt 2019;AEON Mall BSD City;999;;
737;adihalim15;/Profile/adihalim15;40;Nov-18;AEON Mall BSD City;999;;
1022;Agusti Esden;/Profile/AgustiEsden;40;Nov-18;AEON Mall BSD City;999;;
1078;ai_yea;/Profile/ai_yea;50;Mei 2018;AEON Mall BSD City;999;;
1218;Alde Dyanrini;/Profile/AldeD1;50;Apr-18;AEON Mall BSD City;999;;
1258;Alexander M;/Profile/T1563MDalexanderm;40;Apr-18;AEON Mall BSD City;999;;
1446;Amal P;/Profile/523amalp;40;Jun-19;AEON Mall BSD City;999;;
1770;Andri y;/Profile/117andriy;40;Apr-19;AEON Mall BSD City;999;;
1952;Anisa Rahmah;/Profile/15Nisa;40;Mar-19;AEON Mall BSD City;999;;
2108;Antohokkeh;/Profile/ntoanto12;50;Nov-18;AEON Mall BSD City;999;;
2108;Antohokkeh;/Profile/ntoanto12;50;Mei 2018;AEON Mall BSD City;999;;
2424;arisgt;/Profile/arisgt;50;Jun-19;AEON Mall BSD City;999;;
2623;astarina p;/Profile/astarinap;50;Mei 2019;AEON Mall BSD City;999;;
2736;Aurani;/Profile/JacintaAurani;50;Jul-19;AEON Mall BSD City;999;;
2852;Ayudiarosdol;/Profile/Ayudiarosdol;50;Agt 2018;AEON Mall BSD City;999;;
3045;Bambang E;/Profile/BambangE47;50;Okt 2018;AEON Mall BSD City;999;;
3389;billywanget;/Profile/billywanget;50;Nov-18;AEON Mall BSD City;999;;
4241;cinfen;/Profile/cinfen;40;Mar-19;AEON Mall BSD City;999;;
4544;Dahlia;/Profile/Dahliamidi;40;Mei 2018;AEON Mall BSD City;999;;
4921;Dehatra;/Profile/dehatra;40;Jun-18;AEON Mall BSD City;999;;
4948;demyde;/Profile/demyde;50;Agt 2018;AEON Mall BSD City;999;;
5075;Desy A;/Profile/desyapriya;30;Sep-18;AEON Mall BSD City;999;;
5172;dewinsrdewi;/Profile/Dewinsrdewi;40;Apr-19;AEON Mall BSD City;999;;
5770;dulpantau;/Profile/dulpantau;40;Okt 2019;AEON Mall BSD City;999;;
6194;Elly TS.;/Profile/IbuElly;50;Agt 2019;AEON Mall BSD City;999;;
6278;emmasaragih;/Profile/emmasaragih;50;Jun-18;AEON Mall BSD City;999;;
6591;evgust;/Profile/evgust;50;Apr-19;AEON Mall BSD City;999;;
7047;Feri F;/Profile/ferfad;50;Mar-18;AEON Mall BSD City;999;;
7089;Feyree;/Profile/Feyree;50;Mar-19;AEON Mall BSD City;999;;
7451;gadis10;/Profile/gadis10;40;Mar-18;AEON Mall BSD City;999;;
7459;Galang F;/Profile/Franfis6;40;Jun-18;AEON Mall BSD City;999;;
7971;Hafidzah;/Profile/Hafidzahbahar;50;Sep-19;AEON Mall BSD City;999;;
8105;Hanta;/Profile/hantajulian;50;Feb-19;AEON Mall BSD City;999;;
8259;Heems;/Profile/MizterHeems;50;Jul-18;AEON Mall BSD City;999;;
8424;heri s;/Profile/heris586;40;Okt 2018;AEON Mall BSD City;999;;
8448;Herman Q;/Profile/Herman-herry;50;Jan-20;AEON Mall BSD City;999;;
8468;Herni P;/Profile/HerniP8;50;Agt 2018;AEON Mall BSD City;999;;
9177;ira;/Profile/sin_ik_1999;40;Okt 2019;AEON Mall BSD City;999;;
9595;janettepurnomo;/Profile/janettepurnomo;50;Jul-18;AEON Mall BSD City;999;;
9963;joanddee;/Profile/joanddee;40;Mar-18;AEON Mall BSD City;999;;
10119;jonathan;/Profile/jo2gunawan;50;Mei 2018;AEON Mall BSD City;999;;
10128;Jondoli;/Profile/Jondoli;40;Jun-19;AEON Mall BSD City;999;;
10281;Juliana_wijaya69;/Profile/Juliana_wijaya69;50;Nov-18;AEON Mall BSD City;999;;
10371;Jusy;/Profile/JusyKusumawati;50;Nov-18;AEON Mall BSD City;999;;
10896;Km Budhi;/Profile/budhi55;50;Agt 2019;AEON Mall BSD City;999;;
10993;kristayuda;/Profile/kristayuda;50;Sep-18;AEON Mall BSD City;999;;
11115;Kyuu21;/Profile/Kyuu21;50;Apr-18;AEON Mall BSD City;999;;
11217;laurabenedicta;/Profile/laurabenedicta;50;Mei 2018;AEON Mall BSD City;999;;
11229;LaurenciaLauren;/Profile/LaurenciaLauren;50;Jun-18;AEON Mall BSD City;999;;
11328;lennydestiny29;/Profile/lennydestiny29;40;Nov-18;AEON Mall BSD City;999;;
11404;Li_zheng12;/Profile/Li_zheng12;40;Agt 2018;AEON Mall BSD City;999;;
11428;Liana1908;/Profile/Liana1908;50;Apr-18;AEON Mall BSD City;999;;
11463;lielyaES;/Profile/lielyaES;50;Sep-18;AEON Mall BSD City;999;;
11483;LilianaCahya;/Profile/LilianaCahya;50;Apr-18;AEON Mall BSD City;999;;
11747;louisjhoo30;/Profile/louisjhoo3008;30;Okt 2018;AEON Mall BSD City;999;;
11850;Luqman;/Profile/luqmanulkhakim;50;Des 2018;AEON Mall BSD City;999;;
11923;M3liana;/Profile/M3liana;50;Mar-18;AEON Mall BSD City;999;;
12011;mahesa p;/Profile/441mahesap;40;Agt 2018;AEON Mall BSD City;999;;
12013;mahestri;/Profile/mahestri;40;Nov-18;AEON Mall BSD City;999;;
12328;martha;/Profile/698marthal;50;Jun-18;AEON Mall BSD City;999;;
12779;Mia T;/Profile/103miat;50;Jul-18;AEON Mall BSD City;999;;
13184;Moriko P;/Profile/MorikoP;50;Nov-18;AEON Mall BSD City;999;;
13292;Muhamad rangga gumilar;/Profile/Muhamadranggagumilar;50;Okt 2018;AEON Mall BSD City;999;;
13960;Nim Haid;/Profile/784nimh;50;Mar-20;AEON Mall BSD City;999;;
14346;nyvfaa;/Profile/nyvfaa;40;Jun-18;AEON Mall BSD City;999;;
14378;Odings;/Profile/Dicky_Nugraha;50;Okt 2018;AEON Mall BSD City;999;;
14383;Oemar Ichsan;/Profile/Oemaristan;50;Mei 2018;AEON Mall BSD City;999;;
14427;Oktaviani;/Profile/fany2799;40;Sep-19;AEON Mall BSD City;999;;
14436;oktivia;/Profile/oktivia;40;Des 2018;AEON Mall BSD City;999;;
14804;pergijalan;/Profile/pergijalan;40;Des 2019;AEON Mall BSD City;999;;
14805;pergipergi asik;/Profile/nitanyalesti;50;Jan-19;AEON Mall BSD City;999;;
14810;permadi117;/Profile/Permadi117;40;Jul-19;AEON Mall BSD City;999;;
15087;Prima;/Profile/primadita86;40;Apr-19;AEON Mall BSD City;999;;
15228;PutriRR;/Profile/551putrir;50;Sep-20;AEON Mall BSD City;999;;
15360;Radjasa;/Profile/Rashiman;40;Des 2019;AEON Mall BSD City;999;;
15596;Ratnayw;/Profile/Ratnayw49;50;Sep-19;AEON Mall BSD City;999;;
15596;Ratnayw;/Profile/Ratnayw49;50;Sep-18;AEON Mall BSD City;999;;
15611;ravandomukti;/Profile/ravandomukti;50;Mei 2018;AEON Mall BSD City;999;;
15693;Refa;/Profile/Ayamgeprek01;50;Des 2019;AEON Mall BSD City;999;;
15905;Rian Saputra;/Profile/riansaputra02;50;Jun-19;AEON Mall BSD City;999;;
16150;Rirukunir;/Profile/Rirukunir;40;Jun-18;AEON Mall BSD City;999;;
16537;Roy Ferdinand H;/Profile/RoyFerdinandHandoko;40;Jul-18;AEON Mall BSD City;999;;
16804;Salsabila Putri P;/Profile/SalsabilaPutriP;40;Apr-18;AEON Mall BSD City;999;;
17413;Shilkookie;/Profile/Shilkookie;50;Jun-18;AEON Mall BSD City;999;;
17604;Siska Lie;/Profile/29siskalie;50;Mei 2019;AEON Mall BSD City;999;;
17721;Sofie;/Profile/Sofieattan;50;Nov-19;AEON Mall BSD City;999;;
17915;Stephanie R;/Profile/StephanieR4302;40;Jun-18;AEON Mall BSD City;999;;
17950;steve_henry;/Profile/steve_henry19;50;Okt 2019;AEON Mall BSD City;999;;
18167;suryaty;/Profile/suryaty;40;Jan-19;AEON Mall BSD City;999;;
18575;tepas2000;/Profile/tepas2000;40;Jan-19;AEON Mall BSD City;999;;
19178;TrissonBSD;/Profile/TrissonBSD;40;Mar-19;AEON Mall BSD City;999;;
19440;Vanya;/Profile/123nakitsuki;50;Jun-19;AEON Mall BSD City;999;;
19616;Vincent W;/Profile/VincentW1535;40;Nov-18;AEON Mall BSD City;999;;
20050;Wilianto1;/Profile/Wilianto1;40;Des 2018;AEON Mall BSD City;999;;
20112;Windi S;/Profile/windis2018;50;Apr-18;AEON Mall BSD City;999;;
20580;yovita;/Profile/jojokuliner;40;Mar-18;AEON Mall BSD City;999;;
20721;yunitakwee;/Profile/yunitakwee;50;Okt 2018;AEON Mall BSD City;999;;
20940;��🇩Hartonoswanopati🇮🇩;/Profile/harswan;40;Jun-19;AEON Mall BSD City;999;;
235;(Mr Rudy);/Profile/rudolphm683;50;19-Nov;Agrowisata Teba Sari Bali;998;;
908;Agen SOP Subarashi Jawa Timur;/Profile/subarashi25;50;11-Mar;Agrowisata Teba Sari Bali;998;;
1150;Akhilesh Aggarwal;/Profile/akhilagg;50;Mei 2017;Agrowisata Teba Sari Bali;998;;
2041;Annette N;/Profile/annetten964;50;18-Nov;Agrowisata Teba Sari Bali;998;;
2427;ariskurnia1005;/Profile/ariskurnia1005;40;20-Jan;Agrowisata Teba Sari Bali;998;;
3006;Bali Kuno;/Profile/BaliKuno;40;Agt 2016;Agrowisata Teba Sari Bali;998;;
3015;bali1st;/Profile/bali1st;40;16-Feb;Agrowisata Teba Sari Bali;998;;
3028;Balilover;/Profile/balilover4eva;50;18-Nov;Agrowisata Teba Sari Bali;998;;
3039;Balivilla4u;/Profile/balivilla4u1;50;17-Jul;Agrowisata Teba Sari Bali;998;;
3101;barbeeRx;/Profile/barbeeRx;50;Mei 2017;Agrowisata Teba Sari Bali;998;;
3125;bartg15;/Profile/bartg15;50;19-Jan;Agrowisata Teba Sari Bali;998;;
3333;Bestfamily2011;/Profile/Bestfamily2011;50;17-Jun;Agrowisata Teba Sari Bali;998;;
3451;Blibalitrans;/Profile/Blibalitrans;50;16-Feb;Agrowisata Teba Sari Bali;998;;
3547;Brad;/Profile/BradleyJ249;50;19-Jan;Agrowisata Teba Sari Bali;998;;
3862;Carol C;/Profile/T4607VPcarolc;50;Mei 2017;Agrowisata Teba Sari Bali;998;;
3938;Cece L;/Profile/452cecel;50;17-Jun;Agrowisata Teba Sari Bali;998;;
4257;citizenchim;/Profile/citizenchim;40;19-Jan;Agrowisata Teba Sari Bali;998;;
4312;claudiak15;/Profile/claudiak15;50;19-Feb;Agrowisata Teba Sari Bali;998;;
4363;Compass73198;/Profile/Compass73198;10;19-Sep;Agrowisata Teba Sari Bali;998;;
4385;Corey D;/Profile/CoreyD755;40;19-Jul;Agrowisata Teba Sari Bali;998;;
4413;Craig C;/Profile/734craigc;40;17-Jun;Agrowisata Teba Sari Bali;998;;
4569;Dan C;/Profile/DanielC16193;50;19-Jun;Agrowisata Teba Sari Bali;998;;
4627;Danielle B;/Profile/dannii776;30;17-Jun;Agrowisata Teba Sari Bali;998;;
4672;Darma S;/Profile/DarmaS15;50;17-Mar;Agrowisata Teba Sari Bali;998;;
